title,model,price,brand,image_url
Iphone 16 Pro Max  - 256GB,Iphone 16 Pro Max  - 256GB,1215,Apple,/assets/apple-iphone-16-pro-max-1.jpg
Iphone 16 Pro   - 256GB,Iphone 16 Pro   - 256GB,1024,Apple,/assets/apple-iphone-16-pro-1.jpg
Iphone 16 Pro- 128GB,Iphone 16 Pro- 128GB,1008,Apple,/assets/apple-iphone-16-pro-1.jpg
Iphone 16 Plus-256GB,Iphone 16 Plus-256GB,900,Apple,/assets/apple-iphone-16-plus-1.jpg
Iphone 16 Plus-128GB,Iphone 16 Plus-128GB,846,Apple,/assets/apple-iphone-16-plus-1.jpg
Iphone 16 -256GB,Iphone 16 -256GB,838,Apple,/assets/apple-iphone-16-1.jpg
Iphone 16 -128GB,Iphone 16 -128GB,777,Apple,/assets/apple-iphone-16-1.jpg
Iphone 15 Pro Max - 512GB,Iphone 15 Pro Max - 512GB,985,Apple,/assets/apple-iphone-15-pro-max-1.jpg
Iphone 15 Pro Max - 256GB,Iphone 15 Pro Max - 256GB,946,Apple,/assets/apple-iphone-15-pro-max-1.jpg
Iphone Pro 15 - 512GB,Iphone Pro 15 - 512GB,869,Apple,/assets/apple-iphone-15-pro-1.jpg
Iphon 15 Pro -256GB,Iphon 15 Pro -256GB,854,Apple,/assets/apple-iphone-15-pro-1.jpg
Iphone Pro 15 - 128GB,Iphone Pro 15 - 128GB,792,Apple,/assets/apple-iphone-15-pro-1.jpg
Iphone 15 Plus -256GB,Iphone 15 Plus -256GB,738,Apple,/assets/apple-iphone-15-plus-1.jpg
Iphone 15 Plus -128GB,Iphone 15 Plus -128GB,685,Apple,/assets/apple-iphone-15-plus-1.jpg
Iphone 15 -256GB,Iphone 15 -256GB,708,Apple,/assets/apple-iphone-15-1.jpg
Iphone 15 -126GB,Iphone 15 -126GB,677,Apple,/assets/apple-iphone-15-1.jpg
Iphone Pro Max 14 - 256GB,Iphone Pro Max 14 - 256GB,785,Apple,/assets/apple-iphone-14-pro-max-1.jpg
Iphone 14 - 256GB - Dual,Iphone 14 - 256GB - Dual,495,Apple,/assets/apple-iphone-14-pro-1.jpg
Iphone Pro 14 - 256GB - Dual,Iphone Pro 14 - 256GB - Dual,659,Apple,/assets/apple-iphone-14-pro-1.jpg
Iphone Pro Max 14 - 128GB,Iphone Pro Max 14 - 128GB,738,Apple,/assets/apple-iphone-14-pro-max-1.jpg
Iphone 14Pro - 256 GB,Iphone 14Pro - 256 GB,666,Apple,/assets/apple-iphone-14-pro-1.jpg
Iphone 14 Pro - 128 GB,Iphone 14 Pro - 128 GB,651,Apple,/assets/apple-iphone-14-pro-1.jpg
Phone Pro 13 Max - 256GB,Phone Pro 13 Max - 256GB,631,Apple,/assets/apple-iphone-13-pro-max-1.jpg
Iphon Pro 13 Max -128GB,Iphon Pro 13 Max -128GB,592,Apple,/assets/apple-iphone-13-pro-max-1.jpg
Iphone 13 Pro  - 256GB,Iphone 13 Pro  - 256GB,546,Apple,/assets/apple-iphone-13-pro-max-1.jpg
Iphone 13 Pro  - 128GB,Iphone 13 Pro  - 128GB,515,Apple,/assets/apple-iphone-13-pro-max-1.jpg
Iphone 13 - 256GB,Iphone 13 - 256GB,454,Apple,/assets/apple-iphone-13-pro-max-1.jpg
Iphone 13 - 128GB,Iphone 13 - 128GB,423,Apple,/assets/apple-iphone-13-pro-max-1.jpg
Iphone 12 Pro Max -256GB,Iphone 12 Pro Max -256GB,508,Apple,/assets/apple-iphone-12-pro-max-1.jpg
Iphone 12 Pro Max - 128GB,Iphone 12 Pro Max - 128GB,477,Apple,/assets/apple-iphone-12-pro-max-1.jpg
Iphone 12 Pro -256GB,Iphone 12 Pro -256GB,431,Apple,/assets/apple-iphone-12-pro-max-1.jpg
Iphone 12 Pro -128GB,Iphone 12 Pro -128GB,408,Apple,/assets/apple-iphone-12-pro-max-1.jpg
Iphone 12  -256GB,Iphone 12  -256GB,400,Apple,/assets/apple-iphone-12-pro-max-1.jpg
Iphone 12  -128GB,Iphone 12  -128GB,362,Apple,/assets/apple-iphone-12-pro-max-1.jpg
Iphone 11 Pro Max -256GB,Iphone 11 Pro Max -256GB,408,Apple,/assets/apple-iphone-11-1.jpg
Iphone 11 Pro  -256GB,Iphone 11 Pro  -256GB,369,Apple,/assets/apple-iphone-11-1.jpg
Iphone 11 - 128 GB,Iphone 11 - 128 GB,311,Apple,/assets/apple-iphone-11-1.jpg
Iphone XS Mx  - 256GB,Iphone XS Mx  - 256GB,294,Apple,/assets/apple-iphone-xs-max-5.jpg
Iphone XR  -128GG,Iphone XR  -128GG,266,Apple,/assets/apple-iphone-xr-1.jpg
Iphone XR Mx  - 64GB,Iphone XR Mx  - 64GB,252,Apple,/assets/apple-iphone-xr-1.jpg
